tvMax,PSNR,dx,dy,match,q
0.123,25.895,2, 1, 0.991292,25.772
0.123,26.331,2, 1, 0.986165,26.208
0.123,26.342,2, 1, 0.991877,26.219
0.123,26.503,2, 1, 0.990603,26.38
0.125,25.773,2, 0, 0.981623,25.648
0.125,25.773,2, 1, 0.981065,25.648
0.127,15.585,32, -23, 0.719893,15.458
0.127,16.211,19, -11, 0.951728,16.084
0.128,24.75,2, 0, 0.988735,24.622
0.128,25.109,2, 0, 0.993475,24.981
0.129,25.633,2, 0, 0.991307,25.504
0.129,25.692,2, 1, 0.989934,25.563
0.13,24.888,2, 0, 0.996489,24.758
0.13,25.357,2, 0, 0.99216,25.227
0.132,26.457,2, 1, 0.988213,26.325
0.132,26.68,2, 1, 0.988505,26.548
0.134,25.397,2, 0, 0.990377,25.263
0.134,25.517,2, 0, 0.991681,25.383
0.134,25.641,2, 0, 0.998161,25.507
0.134,26.142,2, 0, 0.988413,26.008
0.136,24.811,2, 0, 0.996199,24.675
0.136,25.224,2, 0, 0.995865,25.088
0.138,24.537,2, 0, 0.994207,24.399
0.138,24.993,2, 0, 0.9961,24.855
0.138,25.447,2, 0, 0.994213,25.309
0.138,25.664,2, 0, 0.997008,25.526
0.141,25.674,2, 1, 0.992599,25.533
0.141,25.831,2, 1, 0.992101,25.69
0.142,25.713,2, 1, 0.992192,25.571
0.142,25.713,2, 1, 0.993821,25.571
0.144,25.566,2, 0, 0.995498,25.422
0.144,25.7,2, 0, 0.994552,25.556
0.145,25.844,2, 0, 0.961054,25.699
0.145,26.128,2, 1, 0.972498,25.983
0.145,26.701,1, 0, 0.984957,26.556
0.145,26.758,2, 1, 0.988913,26.613
0.146,25.371,2, 0, 0.997447,25.225
0.146,25.576,2, 0, 0.983724,25.43
0.146,25.624,2, 0, 0.983282,25.478
0.146,25.879,2, 1, 0.990662,25.733
0.148,24.876,2, 0, 0.992407,24.728
0.148,25.175,2, 0, 0.993713,25.027
0.15,24.914,2, 0, 0.996641,24.764
0.15,25.376,2, 0, 0.995534,25.226
0.153,27.215,2, 0, 0.989947,27.062
0.153,27.262,2, 0, 0.990487,27.109
0.154,26.224,1, 1, 0.960785,26.07
0.154,27.565,1, 1, 0.991414,27.411
0.154,27.601,1, 1, 0.987809,27.447
0.154,28.95,1, 0, 0.997429,28.796
0.156,27.405,1, 0, 0.989759,27.249
0.156,28.17,1, 1, 0.987767,28.014
0.159,25.847,2, 0, 0.994588,25.688
0.159,26.006,2, 0, 0.987396,25.847
0.16,24.633,2, 0, 0.992795,24.473
0.16,25.413,2, 0, 0.991828,25.253
0.161,25.333,2, 0, 0.989432,25.172
0.161,25.541,2, 0, 0.990556,25.38
0.161,25.573,2, 0, 0.990206,25.412
0.161,25.739,2, 0, 0.994559,25.578
0.162,26.456,2, 1, 0.988151,26.294
0.162,26.558,2, 1, 0.986046,26.396
0.165,16.024,32, -22, 0.768178,15.859
0.165,16.591,19, -11, 0.95566,16.426
0.166,25.191,2, 0, 0.99151,25.025
0.166,25.324,2, 0, 0.997388,25.158
0.167,24.468,2, 0, 0.993049,24.301
0.167,24.536,2, 0, 0.993459,24.369
0.168,15.834,32, -22, 0.736117,15.666
0.168,16.442,19, -11, 0.955262,16.274
0.169,25.479,2, 0, 0.994652,25.31
0.169,25.542,2, 0, 0.992285,25.373
0.17,15.737,32, -22, 0.755555,15.567
0.17,16.372,19, -11, 0.959377,16.202
