GCODE,REP,IMG1,IMG2,IMG3
Z-0.0X10Y10,1,6.2719526290893555,6.2709245681762695,6.2694330215454102
Z-0.0X10Y10,2,6.2315292358398438,6.2312040328979492,6.2292141914367676
Z-0.0X10Y10,3,6.2265968322753906,6.2265968322753906,6.2265968322753906
Z-0.5X10Y10,1,6.2608647346496582,6.2667441368103027,6.2761454582214355
Z-0.5X10Y10,2,6.2823014259338379,6.279238224029541,6.279238224029541
Z-0.5X10Y10,3,6.2927641868591309,6.2928051948547363,6.2927641868591309
Z-1.0X10Y10,1,6.3095989227294922,6.3097085952758789,6.3097085952758789
Z-1.0X10Y10,2,6.3051314353942871,6.3051314353942871,6.3051314353942871
Z-1.0X10Y10,3,6.3051199913024902,6.2898149490356445,6.2947640419006348
Z-1.5X10Y10,1,6.3531050682067871,6.3531050682067871,6.3490095138549805
Z-1.5X10Y10,2,6.3486547470092773,6.3486547470092773,6.3486547470092773
Z-1.5X10Y10,3,6.3450427055358887,6.3445539474487305,6.3445539474487305
Z-2.0X10Y10,1,6.3883957862854004,6.386195182800293,6.386195182800293
Z-2.0X10Y10,2,6.384709358215332,6.3847470283508301,6.384709358215332
Z-2.0X10Y10,3,6.3873429298400879,6.3858728408813477,6.381462574005127
Z-2.5X10Y10,1,6.4310555458068848,6.4326677322387695,6.433863639831543
Z-2.5X10Y10,2,6.4289445877075195,6.433863639831543,6.4305305480957031
Z-2.5X10Y10,3,6.424222469329834,6.424222469329834,6.4286561012268066
Z-3.0X10Y10,1,6.4447798728942871,6.4447798728942871,6.4459595680236816
Z-3.0X10Y10,2,6.4447798728942871,6.4447798728942871,6.4447798728942871
Z-3.0X10Y10,3,6.4699959754943848,6.4699959754943848,6.4650850296020508
Z-3.5X10Y10,1,6.4888372421264648,6.4888372421264648,6.4888372421264648
Z-3.5X10Y10,2,6.4887986183166504,6.4888372421264648,6.4887986183166504
Z-3.5X10Y10,3,6.4887986183166504,6.4887986183166504,6.4887986183166504
Z-4.0X10Y10,1,6.5261087417602539,6.52581787109375,6.52581787109375
Z-4.0X10Y10,2,6.5252542495727539,6.52581787109375,6.5322051048278809
Z-4.0X10Y10,3,6.5290627479553223,6.531733512878418,6.5290627479553223
